                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.28651,                0.40601,                0.79265,                 0.9169,                0.84018,                0.94164,                  0.903,                0.19329,                0.33827,                0.78904,               0.006535,               0.006535,               0.006535
                     38,                0.28271,                0.40007,                0.79108,                0.90733,                0.85056,                0.94233,                0.90055,                0.19004,                0.33301,                0.79028,               0.006436,               0.006436,               0.006436
                     39,                0.28352,                0.40405,                0.79226,                0.89407,                0.85971,                0.94182,                0.90191,                0.19198,                0.33855,                0.79035,               0.006337,               0.006337,               0.006337
                     40,                 0.2806,                0.39754,                 0.7908,                 0.8789,                0.87972,                0.94177,                0.90234,                 0.1924,                0.33571,                0.78886,               0.006238,               0.006238,               0.006238
                     41,                0.27908,                0.39426,                0.79176,                 0.9082,                0.85668,                 0.9424,                0.90063,                0.19183,                0.33501,                0.78971,               0.006139,               0.006139,               0.006139
                     42,                0.27756,                0.39354,                0.78983,                0.88612,                0.87586,                0.94339,                0.90444,                0.18731,                0.33082,                  0.789,                0.00604,                0.00604,                0.00604
                     43,                0.27703,                0.38769,                0.79079,                0.88834,                0.86999,                0.94485,                0.90503,                0.18947,                0.32819,                0.78826,               0.005941,               0.005941,               0.005941
                     44,                0.27589,                0.38817,                0.79125,                0.88697,                0.87809,                0.94343,                0.90377,                0.18501,                0.32605,                0.78722,               0.005842,               0.005842,               0.005842
                     45,                0.27327,                0.38309,                 0.7895,                0.91578,                0.85055,                0.94359,                0.90406,                 0.1823,                0.32342,                 0.7877,               0.005743,               0.005743,               0.005743
                     46,                0.27445,                0.38594,                0.79029,                0.91149,                0.84165,                 0.9451,                0.90758,                0.18194,                0.32381,                0.78845,               0.005644,               0.005644,               0.005644
                     47,                0.26974,                0.38114,                0.79001,                0.89915,                0.85705,                0.94545,                0.90583,                0.18093,                 0.3214,                0.78945,               0.005545,               0.005545,               0.005545
                     48,                0.27079,                0.38024,                0.79015,                0.90566,                0.86364,                0.94725,                0.90759,                  0.181,                0.32004,                0.78856,               0.005446,               0.005446,               0.005446
                     49,                0.26873,                0.38059,                 0.7906,                0.90238,                0.86483,                0.94783,                0.90877,                0.18192,                0.31735,                0.78873,               0.005347,               0.005347,               0.005347
                     50,                0.26647,                0.37351,                0.78964,                0.90505,                0.86324,                0.94806,                0.91138,                0.18123,                 0.3188,                0.78803,               0.005248,               0.005248,               0.005248
                     51,                0.26358,                0.37387,                0.78876,                0.92077,                0.84314,                0.94666,                0.90802,                0.17947,                0.32013,                0.78766,               0.005149,               0.005149,               0.005149
